parameter,baseline,swing,n_regimes,regime_start,regime_end,n_valid,regime,range
oxide_thickness,3,0.5887755881457687,2,metal,oxide,9,oxide,global
oxide_thickness,4,1.371101120885708,2,metal,oxide,9,oxide,global
oxide_thickness,5,0.6609121244669879,2,metal,oxide,9,oxide,global
oxide_thickness,6,0.8415085817855841,2,metal,oxide,9,oxide,global
oxide_thickness,7,0.8070663838477398,2,metal,oxide,9,oxide,global
oxide_thickness,8,3.5720909079042977,2,metal,oxide,9,oxide,global
oxide_thickness,9,0.950546225300301,2,metal,oxide,9,oxide,global
oxide_thickness,10,2.833474423704657,2,metal,oxide,9,oxide,global
oxide_thickness,11,1.1076852176817376,2,metal,oxide,9,oxide,global
oxide_thickness,12,0.6012394884306197,2,metal,oxide,9,oxide,global
oxide_thickness,13,2.869112205937655,2,metal,oxide,9,oxide,global
oxide_thickness,14,1.5800633479900135,2,metal,oxide,9,oxide,global
oxide_thickness,15,1.6300863680930189,2,metal,oxide,9,oxide,global
oxide_thickness,16,0.5822179028939877,2,metal,oxide,9,oxide,global
oxide_thickness,17,1.8343157081679649,2,metal,oxide,9,oxide,global
oxide_thickness,18,0.5947365886708297,2,metal,oxide,9,oxide,global
oxide_thickness,19,1.2011127880357149,2,metal,oxide,9,oxide,global
oxide_thickness,20,0.9892860713992323,2,metal,oxide,9,oxide,global
oxide_thickness,21,2.3694505157930292,2,metal,oxide,9,oxide,global
oxide_thickness,22,1.009573801065601,2,metal,oxide,9,oxide,global
oxide_thickness,23,2.263963145455332,2,metal,oxide,9,oxide,global
oxide_thickness,24,3.006508519533786,2,metal,oxide,9,oxide,global
P_upstream,0,12.186304785021731,2,defect,oxide,9,oxide,global
P_upstream,1,10.658666570660623,2,defect,oxide,9,oxide,global
P_upstream,2,11.70294771723041,2,defect,oxide,9,oxide,global
P_upstream,3,11.935798583516359,2,defect,oxide,9,oxide,global
P_upstream,4,12.018171303361413,2,defect,oxide,9,oxide,global
P_upstream,5,11.511285764778203,2,defect,oxide,9,oxide,global
P_upstream,6,11.852075144782408,2,defect,oxide,9,oxide,global
P_upstream,7,12.004801972878768,2,defect,oxide,9,oxide,global
P_upstream,8,9.004903098092397,2,defect,oxide,9,oxide,global
P_upstream,9,12.135379393537887,2,defect,oxide,9,oxide,global
P_upstream,10,9.516230176458558,2,defect,oxide,9,oxide,global
