regime,metric,parameter,pawn_median,delta,S1_givendata,n,floor,delta_over_floor,temperature_K
oxide,permeability,K_ox_ref,0.07253465446470628,0.06570066599523813,0.02478436179265086,1544,0.07359235937910032,0.8927647727230856,1273.0
oxide,permeability,H_sol_ox,0.5510985128860777,0.6411697065994002,0.8992173232902249,1544,0.07359235937910032,8.712449390248624,1273.0
oxide,permeability,metal_thickness,0.08338940851894219,0.07578322537745716,0.020970758235685203,1544,0.07359235937910032,1.0297702916014815,1273.0
oxide,permeability,oxide_thickness,0.08372585963259538,0.059694134163599866,0.015142243672399186,1544,0.07359235937910032,0.8111458127887194,1273.0
oxide,permeability,P_upstream,0.06674348967095081,0.08593936845818062,0.029297960451811753,1544,0.07359235937910032,1.1677756927927325,1273.0
oxide,permeability,f_pinhole,0.05987302226438111,0.07955336270811579,0.017327469099474854,1544,0.07359235937910032,1.08100030192412,1273.0
oxide,permeability,f_crack,0.05267828653045099,0.06474035126400274,0.014316185659884323,1544,0.07359235937910032,0.879715663558254,1273.0
oxide,permeability,f_gb_defect,0.050846174550837765,0.06049363740500117,0.009960155329508736,1544,0.07359235937910032,0.822009756384858,1273.0
oxide,permeability,crack_thickness_factor,0.05061991117690599,0.05402636019566416,0.007102461879652391,1544,0.07359235937910032,0.7341300190873788,1273.0
oxide,permeability,gb_diffusivity_factor,0.07307132112413744,0.0629555508775242,0.015860867037315925,1544,0.07359235937910032,0.8554631405852591,1273.0
oxide,permeability,grain_size,0.06575516452459457,0.06939918703643258,0.018803946013959304,1544,0.07359235937910032,0.9430216346092776,1273.0
oxide,permeability,gb_thickness,0.05579621156046026,0.04864211451541659,0.01412943190055107,1544,0.07359235937910032,0.6609669118616489,1273.0
oxide,permeability,lattice_density,0.054914709642688915,0.08049076314440531,0.007096326856052098,1544,0.07359235937910032,1.0937380432358321,1273.0
oxide,permeability,trap_dislocation_E_b,0.06412758226229728,0.06655675330583107,0.01667737913732545,1544,0.07359235937910032,0.9043976014272576,1273.0
oxide,permeability,trap_dislocation_N_T,0.06695721752758357,0.07286880988742159,0.004801730728060223,1544,0.07359235937910032,0.9901681438428754,1273.0
oxide,permeability,trap_gb_E_b,0.05676665595811509,0.05165739979217745,0.0051976716819161235,1544,0.07359235937910032,0.7019397153184325,1273.0
oxide,permeability,trap_gb_N_T,0.05641837478917539,0.05011080076649702,0.006180799484275319,1544,0.07359235937910032,0.6809239598958708,1273.0
oxide,permeability,trap_vacancy_E_b,0.058886352240438825,0.08286376361782988,0.0014228783339527277,1544,0.07359235937910032,1.1259832449584783,1273.0
oxide,permeability,trap_vacancy_N_T,0.08471839041787228,0.09986328972423164,0.019727508480711434,1544,0.07359235937910032,1.356979047373661,1273.0
oxide,permeability,trap_carbide_E_b,0.07876638028526713,0.05660463008466276,0.010755096825921552,1544,0.07359235937910032,0.7691644969971985,1273.0
oxide,permeability,trap_carbide_N_T,0.06815151044843507,0.06395397562760884,0.0038290405828005363,1544,0.07359235937910032,0.8690301026789921,1273.0
oxide,PRF,D_ref,0.06702947311755603,0.05916464244818205,0.013572202926279945,1544,0.06838922163373735,0.8651164764682058,1273.0
oxide,PRF,E_D,0.05517798263912253,0.05110859346127589,0.00925160165070312,1544,0.06838922163373735,0.747319420229566,1273.0
oxide,PRF,K_s_ref,0.08248967312146319,0.09586139923305678,0.03362830844152372,1544,0.06838922163373735,1.401703323170548,1273.0
oxide,PRF,H_s,0.07248738850986887,0.05280040007087036,0.010219760468856318,1544,0.06838922163373735,0.7720573331517958,1273.0
oxide,PRF,D_ox_ref,0.08333997191175864,0.08554750073904968,0.023582895382787128,1544,0.06838922163373735,1.2508915688089643,1273.0
oxide,PRF,E_D_ox,0.06309144849801711,0.04526830591284955,0.005038764426884953,1544,0.06838922163373735,0.6619216424963383,1273.0
oxide,PRF,K_ox_ref,0.06940042240894656,0.056900835504586134,0.01492150611353139,1544,0.06838922163373735,0.832014667593704,1273.0
oxide,PRF,H_sol_ox,0.38217061435973354,0.37005123746548174,0.6293552712913524,1544,0.06838922163373735,5.410958461368572,1273.0
oxide,PRF,metal_thickness,0.07769497342036202,0.0806543103256623,0.02133650885079311,1544,0.06838922163373735,1.1793424226643692,1273.0
oxide,PRF,oxide_thickness,0.06770340640472682,0.08166123265711088,0.028789855195390665,1544,0.06838922163373735,1.194065829473138,1273.0
oxide,PRF,P_upstream,0.05911806937839029,0.06978242535219818,0.007327872831670111,1544,0.06838922163373735,1.0203716855548117,1273.0
oxide,PRF,f_pinhole,0.06481730704528632,0.05779472695435726,0.012752219883487933,1544,0.06838922163373735,0.8450853156931722,1273.0
oxide,PRF,f_crack,0.05236921276951362,0.06379948963329526,0.012509399927405015,1544,0.06838922163373735,0.932888079571622,1273.0
oxide,PRF,f_gb_defect,0.06068316398627279,0.061239613393776045,0.016115449230861924,1544,0.06838922163373735,0.8954570900331127,1273.0
oxide,PRF,crack_thickness_factor,0.055611163447951015,0.05424913810125215,0.008237921068072357,1544,0.06838922163373735,0.793241051810572,1273.0
oxide,PRF,gb_diffusivity_factor,0.06864023282417064,0.05213924649767148,0.02056750526531143,1544,0.06838922163373735,0.7623898218480449,1273.0
oxide,PRF,grain_size,0.06373645784267545,0.07453587980219191,0.016328558175819206,1544,0.06838922163373735,1.0898775862865255,1273.0
oxide,PRF,gb_thickness,0.061381300047103154,0.07460315747522939,0.009369971305568686,1544,0.06838922163373735,1.0908613330148886,1273.0
oxide,PRF,lattice_density,0.05917754525267478,0.06345135965297477,0.010943943712383235,1544,0.06838922163373735,0.927797657835505,1273.0
oxide,PRF,trap_dislocation_E_b,0.06132700660529509,0.06023118118138264,0.006931459193906833,1544,0.06838922163373735,0.880711605462545,1273.0
oxide,PRF,trap_dislocation_N_T,0.06442618262566449,0.058148171910448576,0.0037263708182548815,1544,0.06838922163373735,0.8502534539998811,1273.0
oxide,PRF,trap_gb_E_b,0.06639442164053563,0.057105449327068125,0.004851908297007825,1544,0.06838922163373735,0.8350065692061804,1273.0
oxide,PRF,trap_gb_N_T,0.05048261741601204,0.04818459776129326,0.009639124100211316,1544,0.06838922163373735,0.7045642077833377,1273.0
oxide,PRF,trap_vacancy_E_b,0.0677612542897517,0.08608255860942625,0.017429000439155597,1544,0.06838922163373735,1.2587152851431274,1273.0
oxide,PRF,trap_vacancy_N_T,0.06880425274207658,0.081542100775269,0.0247853832725425,1544,0.06838922163373735,1.1923238607974322,1273.0
oxide,PRF,trap_carbide_E_b,0.07102344630131693,0.08257848182836396,0.02151502547095636,1544,0.06838922163373735,1.2074780185482743,1273.0
oxide,PRF,trap_carbide_N_T,0.06925005046766705,0.059439877245645326,0.005380470537991791,1544,0.06838922163373735,0.8691410111958755,1273.0
metal,flux,D_ref,0.19684240316972587,0.17963442158837034,0.26202422279602683,1494,0.0884554723353843,2.0307892417020343,1273.0
metal,flux,E_D,0.056510156958931926,0.06422421238799057,0.012669731412704322,1494,0.0884554723353843,0.7260626244183126,1273.0
metal,flux,K_s_ref,0.19196921915851325,0.18050331631784033,0.27567691317795634,1494,0.0884554723353843,2.040612203544073,1273.0
metal,flux,H_s,0.05248061597620909,0.06156493391353294,0.01731796634825248,1494,0.0884554723353843,0.6959991540162236,1273.0
metal,flux,D_ox_ref,0.06633531890425236,0.07738194081860807,0.0050680129087135135,1494,0.0884554723353843,0.8748123635043148,1273.0
metal,flux,E_D_ox,0.06577315975310638,0.065243668421166,0.009706567279450093,1494,0.0884554723353843,0.7375877003266759,1273.0
metal,flux,K_ox_ref,0.07357429718875502,0.050322149723349655,0.011982224291984252,1494,0.0884554723353843,0.5688980952195944,1273.0
metal,flux,H_sol_ox,0.05657798981159537,0.06454858545337158,0.014900111399498962,1494,0.0884554723353843,0.7297297018394939,1273.0
metal,flux,metal_thickness,0.16178809196517613,0.16120513417015034,0.15532400248662923,1494,0.0884554723353843,1.8224438795480202,1273.0
metal,flux,oxide_thickness,0.060137282912410266,0.07997347585837472,0.011449228362137121,1494,0.0884554723353843,0.904109986040778,1273.0
metal,flux,P_upstream,0.13902365614583614,0.13286353669203677,0.10723894282818888,1494,0.0884554723353843,1.5020386323672164,1273.0
metal,flux,f_pinhole,0.07787525942696963,0.09570482494303914,0.01017126216332453,1494,0.0884554723353843,1.0819548233281542,1273.0
metal,flux,f_crack,0.0647084984232231,0.07738470045479647,0.026523302538293853,1494,0.0884554723353843,0.8748435615310229,1273.0
metal,flux,f_gb_defect,0.05634843625059522,0.08509394981051357,0.00924117445128228,1494,0.0884554723353843,0.9619975741904887,1273.0
metal,flux,crack_thickness_factor,0.06643324977763403,0.060261476916742385,0.00996707119053581,1494,0.0884554723353843,0.6812634122652959,1273.0
metal,flux,gb_diffusivity_factor,0.06845053592445846,0.06433203300043362,0.007160803169800079,1494,0.0884554723353843,0.727281549710286,1273.0
metal,flux,grain_size,0.05911053610414814,0.09026619737167273,0.01160403058948792,1494,0.0884554723353843,1.0204704693613862,1273.0
