parameter,swing_med,swing_iqr,swing_max,frac_left_regime,regime,range
trap_gb_N_T,9.006818537598362e-13,1.1137982238667138e-12,1.417069568802271e-11,0.0,metal,global
trap_gb_E_b,1.141763720398942e-13,2.944091755386023e-13,3.695785015549747e-12,0.0,metal,global
trap_dislocation_N_T,1.0607602132086145e-15,8.486081705668837e-15,2.7869063783389104e-14,0.0,metal,global
trap_dislocation_E_b,6.750292265873004e-16,3.953742612868456e-15,2.806192927669975e-14,0.0,metal,global
P_upstream,8.083495080430577,0.25761997535521886,10.696015060869268,0.96,metal,preset
D_ref,3.9989963886766278,0.003107369514269376,8.839876752240281,0.24,metal,preset
K_s_ref,2.999729341904525,0.013149347360361219,8.643830527976688,0.2,metal,preset
metal_thickness,0.9996603223925389,0.008869518787813724,0.9999998965487211,0.16,metal,preset
trap_vacancy_N_T,0.7638689272812509,0.23734667046365465,0.9951431586073369,0.04,metal,preset
trap_vacancy_E_b,0.3788464756175432,0.25129983254563126,0.5012430227218425,0.0,metal,preset
D_ox_ref,0.22604946439728796,0.9416530734397526,1.6072287569592434,0.56,metal,preset
lattice_density,0.11650512882021155,0.054861248344653224,0.15671621804615163,0.0,metal,preset
H_s,0.08218645432713745,0.0004235508968404439,0.08220258804867113,0.0,metal,preset
trap_carbide_E_b,0.04649062798729098,0.07678106866890863,0.17824610369138832,0.0,metal,preset
oxide_thickness,0.04614124747958229,9.063645517287153,12.646673846164425,0.4,metal,preset
trap_carbide_N_T,0.04357741780314893,0.07935096405824016,0.19425419133515304,0.0,metal,preset
H_sol_ox,0.03989188662570877,0.07737606182421874,9.157452227417277,0.2,metal,preset
E_D,0.03354565558233357,0.00018140875169365273,0.03355207224279917,0.0,metal,preset
K_ox_ref,0.00016710754681016662,0.006292535567931505,0.16316391591928417,0.04,metal,preset
grain_size,8.500159628434762e-05,4.035923313093883e-05,0.00012392162922891418,0.0,metal,preset
E_D_ox,1.5322445672054213e-05,0.0003993241753694229,0.01129554218393173,0.0,metal,preset
f_pinhole,1.02475659964474e-05,0.0002489469740570774,0.008349823601862417,0.0,metal,preset
f_gb_defect,1.0000612263982104e-05,0.00024344845944559166,0.007941059618682085,0.0,metal,preset
f_crack,5.977336004405698e-06,0.00019866971464063525,0.005845558290593852,0.0,metal,preset
gb_diffusivity_factor,5.906018543863907e-06,0.00012544226657162976,0.007087397921423237,0.0,metal,preset
crack_thickness_factor,4.687984074699956e-06,0.00011072312503474676,0.002573667108357507,0.0,metal,preset
gb_thickness,4.07690704200415e-06,7.0284203488175715e-06,3.0016128740606356e-05,0.0,metal,preset
trap_gb_N_T,9.006818537598362e-13,1.1137982238667138e-12,1.417069568802271e-11,0.0,metal,preset
trap_gb_E_b,1.141763720398942e-13,2.944091755386023e-13,3.695785015549747e-12,0.0,metal,preset
trap_dislocation_N_T,1.0607602132086145e-15,8.486081705668837e-15,2.7869063783389104e-14,0.0,metal,preset
trap_dislocation_E_b,6.750292265873004e-16,3.953742612868456e-15,2.806192927669975e-14,0.0,metal,preset
P_upstream,11.738078458256131,1.265895127145944,12.632189553760911,1.0,oxide,global
H_sol_ox,3.1104588114018354,0.40512254759440847,4.092963073395983,1.0,oxide,global
D_ref,2.68608217039805,1.577603153210282,3.763591841245113,1.0,oxide,global
K_s_ref,1.7876065063434943,1.587743891724384,2.820089029779387,0.88,oxide,global
D_ox_ref,1.7669960917280199,0.9508461823413636,3.7352178776250735,0.96,oxide,global
oxide_thickness,1.2011127880357149,1.422454563669748,3.5720909079042977,1.0,oxide,global
K_ox_ref,0.6793662899021827,0.13297268920818395,0.6987500136286212,0.12,oxide,global
metal_thickness,0.49065085800937136,0.7499207301753478,0.9657498327262057,0.48,oxide,global
f_pinhole,0.21690200132467688,0.76896512233312,2.24433959123701,0.4,oxide,global
f_gb_defect,0.17050696539614904,0.2993598007623277,0.9922204606666789,0.36,oxide,global
E_D_ox,0.07045232253478217,0.008994602095325321,0.07314503389140237,0.04,oxide,global
f_crack,0.047698796348773866,0.03457237592859638,0.28781551133998085,0.04,oxide,global
trap_vacancy_N_T,0.025990837585181135,0.060612685926406736,0.5038707478575722,0.08,oxide,global
trap_vacancy_E_b,0.021716083636048964,0.09393141935863426,0.2227374824658552,0.08,oxide,global
lattice_density,0.006096874937846081,0.024424755297641265,0.08027906125209375,0.04,oxide,global
H_s,0.0031446482619764352,0.01256725295624955,0.05236005119116477,0.0,oxide,global
trap_carbide_E_b,0.002187901262555082,0.0033427457737316524,0.04170899071258827,0.04,oxide,global
trap_carbide_N_T,0.0017788562964070193,0.00364392505486366,0.039635053361803,0.04,oxide,global
E_D,0.001175262113191282,0.004945406405659123,0.022439523104283772,0.04,oxide,global
gb_diffusivity_factor,8.992266823948769e-06,7.269745369238775e-05,0.00029017405815307315,0.0,oxide,global
crack_thickness_factor,7.75179893708881e-06,0.00012749644752254184,0.00029679848352419884,0.0,oxide,global
grain_size,3.033026528178334e-06,1.2957344274165208e-05,7.566809448246334e-05,0.0,oxide,global
gb_thickness,1.9517422916005557e-07,6.106012667292411e-07,4.776685798501691e-06,0.0,oxide,global
trap_gb_N_T,4.61912856479e-14,1.4686707315604015e-13,1.1346276971451154e-12,0.0,oxide,global
trap_gb_E_b,5.496666559353702e-15,1.1379064105328624e-14,4.676023885314372e-13,0.0,oxide,global
trap_dislocation_N_T,2.8929823996598605e-16,6.750292265873004e-16,1.137906410532864e-14,0.0,oxide,global
trap_dislocation_E_b,9.64327466553287e-17,2.8929823996598605e-16,1.7357894397959133e-15,0.0,oxide,global
P_upstream,11.738078458256131,1.265895127145944,12.632189553760911,1.0,oxide,preset
H_sol_ox,3.1104588114018354,0.40512254759440847,4.092963073395983,1.0,oxide,preset
K_s_ref,1.7876065063434943,1.587743891724384,2.820089029779387,0.88,oxide,preset
oxide_thickness,1.1668101438918705,1.0796561424084516,1.9954690394567158,0.72,oxide,preset
D_ox_ref,0.9853854145937422,0.061508145284411175,0.9995833187123858,0.12,oxide,preset
K_ox_ref,0.6793662899021827,0.13297268920818395,0.6987500136286212,0.12,oxide,preset
D_ref,0.07676728702835739,0.3574869838073671,0.787714806158663,0.32,oxide,preset
E_D_ox,0.07045232253478217,0.008994602095325321,0.07314503389140237,0.04,oxide,preset
metal_thickness,0.029798799968598196,0.15809156939137395,0.6940774566370629,0.16,oxide,preset
trap_vacancy_N_T,0.025990837585181135,0.060612685926406736,0.5038707478575722,0.08,oxide,preset
trap_vacancy_E_b,0.021716083636048964,0.09393141935863426,0.2227374824658552,0.08,oxide,preset
lattice_density,0.006096874937846081,0.024424755297641265,0.08027906125209375,0.04,oxide,preset
H_s,0.0031446482619764352,0.01256725295624955,0.05236005119116477,0.0,oxide,preset
trap_carbide_E_b,0.002187901262555082,0.0033427457737316524,0.04170899071258827,0.04,oxide,preset
trap_carbide_N_T,0.0017788562964070193,0.00364392505486366,0.039635053361803,0.04,oxide,preset
E_D,0.001175262113191282,0.004945406405659123,0.022439523104283772,0.04,oxide,preset
f_pinhole,2.785553196821998e-05,0.00026518542332263576,0.007570084749515902,0.0,oxide,preset
f_gb_defect,2.0676177701525878e-05,5.2561263566055266e-05,0.0003795269310477383,0.0,oxide,preset
gb_diffusivity_factor,8.992266823948769e-06,7.269745369238775e-05,0.00029017405815307315,0.0,oxide,preset
