2.666666 3.666666 0.674677 Ni
3.666666 3.666666 0.674677 Ni
4.666666 4.666666 0.674677 Cr
0.666666 4.666666 0.674677 Ni
1.666666 4.666666 0.674677 Ni
2.666666 4.666666 0.674677 Ni
3.666666 4.666666 0.674677 Ni
5.000000 6.000000 0.364140 Ni
1.000000 6.000000 0.364140 Ni
2.000000 6.000000 0.364140 Ni
3.000000 6.000000 0.364140 Ni
4.000000 6.000000 0.364140 Mo
5.000000 1.000000 0.364140 Ni
1.000000 1.000000 0.364140 Fe
2.000000 1.000000 0.364140 Mo
3.000000 1.000000 0.364140 Ni
4.000000 1.000000 0.364140 Ni
5.000000 2.000000 0.364140 Cr
1.000000 2.000000 0.364140 Ni
2.000000 2.000000 0.364140 Ni
3.000000 2.000000 0.364140 Ni
4.000000 2.000000 0.364140 Ni
5.000000 3.000000 0.364140 Ni
1.000000 3.000000 0.364140 Ni
2.000000 3.000000 0.364140 Ni
3.000000 3.000000 0.364140 Ni
4.000000 3.000000 0.364140 Ni
5.000000 4.000000 0.364140 Ni
1.000000 4.000000 0.364140 Mo
2.000000 4.000000 0.364140 Ni
3.000000 4.000000 0.364140 Ni
4.000000 4.000000 0.364140 Ni
5.000000 5.000000 0.364140 Cr
1.000000 5.000000 0.364140 Al
2.000000 5.000000 0.364140 Ni
3.000000 5.000000 0.364140 Ni
4.000000 5.000000 0.364140 Ni
0.333333 0.333333 0.635860 Ni
1.333333 0.333333 0.635860 C
2.333333 0.333333 0.635860 Ni
3.333333 0.333333 0.635860 Ni
4.333333 0.333333 0.635860 Cr
0.333333 1.333333 0.635860 B
1.333333 1.333333 0.635860 Mo
2.333333 1.333333 0.635860 Ni
3.333333 1.333333 0.635860 Fe
4.333333 1.333333 0.635860 Mo
0.333333 2.333333 0.635860 Ni
1.333333 2.333333 0.635860 B
2.333333 2.333333 0.635860 Ni
3.333333 2.333333 0.635860 Ni
4.333333 2.333333 0.635860 Ni
0.333333 3.333333 0.635860 Ni
1.333333 3.333333 0.635860 Ni
2.333333 3.333333 0.635860 Ni
3.333333 3.333333 0.635860 Ni
4.333333 3.333333 0.635860 Mo
0.333333 4.333333 0.635860 Al
1.333333 4.333333 0.635860 Ni
2.333333 4.333333 0.635860 Ni
3.333333 4.333333 0.635860 C
4.333333 4.333333 0.635860 Ni
0.333333 5.333333 0.635860 Ni
1.333333 5.333333 0.635860 Ni
2.333333 5.333333 0.635860 Ni
3.333333 5.333333 0.635860 Cr
4.333333 5.333333 0.635860 Ni
0.333333 0.333333 0.402957 C
1.333333 0.333333 0.402957 Ni
2.333333 0.333333 0.402957 Ni
3.333333 0.333333 0.402957 B
4.333333 0.333333 0.402957 Cr
0.333333 1.333333 0.402957 Ni
1.333333 1.333333 0.402957 Ni
2.333333 1.333333 0.402957 C
3.333333 1.333333 0.402957 Ni
4.333333 1.333333 0.402957 Cr
0.333333 2.333333 0.402957 Al
1.333333 2.333333 0.402957 Ni
2.333333 2.333333 0.402957 Ni
3.333333 2.333333 0.402957 Ni
4.333333 2.333333 0.402957 Ni
0.333333 3.333333 0.402957 Ni
1.333333 3.333333 0.402957 Ni
2.333333 3.333333 0.402957 Ni
3.333333 3.333333 0.402957 Ni
4.333333 3.333333 0.402957 Ni
0.333333 4.333333 0.402957 Mo
1.333333 4.333333 0.402957 Ni
2.333333 4.333333 0.402957 Ni
3.333333 4.333333 0.402957 Ni
4.333333 4.333333 0.402957 Ni
0.333333 5.333333 0.402957 Ni
1.333333 5.333333 0.402957 Mo
