key,reference,gas,T_ref_K,T_min_K,T_max_K,D_ref_m2_s,E_D_J_mol,D_0_m2_s,Ks_ref_mol_m3_Pa05,H_s_J_mol,K_s0_mol_m3_Pa05,Phi_ref_mol_m_s_Pa05,Q_p_J_mol,Phi_0_mol_m_s_Pa05,thickness_m,k1_ref_clean_mol_m2_s_Pa,E_k1_clean_J_mol,k1_0_clean,k1_ref_partial_mol_m2_s_Pa,E_k1_partial_J_mol,k1_0_partial,k1_ref_oxidized_mol_m2_s_Pa,E_k1_oxidized_J_mol,k1_0_oxidized,notes
Hastelloy_N_oxidized_Rohrig1975_1173K_v2,Rohrig et al. 1975,D₂,1173,773,1223,,,,,,,4.23e-10,77947.92,1.173e-06,0.0033,,,,,,,,,,Duplicate entry in source data — identical parameters.
Nickel_unoxidized_Rohrig1975_1173K,Rohrig et al. 1975,D₂,1173,773,1223,,,,,,,9.306e-10,53555.2,2.1714e-07,0.0033,,,,,,,,,,
metal_316_steel_Grant1988,"Grant et al. 1988 — Hydrogen in 316 steel: diffusion, permeation and surface reaction. DOI: 10.1016/0022-3115(88)90128-7",H₂,965,502,965,1.069e-09,53292.74,8.2e-07,0.1295,17791.96,1.19,1.384e-10,68756.78,8.9e-07,5e-05,1.346e-06,81560.34,0.035,6.726e-08,61856.16,0.00015,9.2e-08,59860.8,0.00016,"All parameter values include upper bound of stated uncertainty. k1 = dissociative adsorption / surface recombination rate constant. Three surface conditions measured: clean, partially ion-beam cleaned, and oxidized."
metal_1.4841_Schmidt1985,Schmidt et al. 1985 — Studies on the permeation of hydrogen and tritium through heat resistant alloys,T₂,1223,1023,1223,1.046e-09,35400,3.4e-08,0.0901,21500,0.7465,9.423e-11,56900,2.538e-08,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_1.4876_Incoloy800_Schmidt1985_v1,Schmidt et al. 1985,T₂,1223,1023,1223,3.783e-09,56400,9.7e-07,0.02138,200,0.0218,8.088e-11,56600,2.115e-08,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X2_NiCr_30_25_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,3.333e-09,69500,3.1e-06,0.06505,10200,0.1774,2.168e-10,79700,5.499e-07,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X2_NiCrSi_30_25_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,4.067e-09,102900,0.000101,0.1843,68600,156.9,7.497e-10,171500,0.01585,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X2_NiCrTi_30_25_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,3.056e-09,62300,1.4e-06,0.008059,29100,0.141,2.463e-11,91400,1.974e-07,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X10_NiCrTi_30_25_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,1.152e-09,42600,7.6e-08,0.07315,45900,6.679,8.424e-11,88500,5.076e-07,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X40_NiCrTi_30_25_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,6.909e-10,23400,6.9e-09,0.09948,33400,2.657,6.873e-11,56800,1.833e-08,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X10_NiCr_30_20_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,2.117e-09,48100,2.4e-07,0.07104,39700,3.525,1.504e-10,87800,8.46e-07,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X10_NiCr_30_22_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,1.764e-09,48600,2.1e-07,0.06537,44700,5.304,1.153e-10,93300,1.114e-06,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
metal_X10_NiCr_30_26_Schmidt1985,Schmidt et al. 1985,T₂,1223,1023,1223,2.555e-09,112800,0.000168,0.1502,85900,700.8,3.838e-10,198700,0.1177,0.005,,,,,,,,,,Phi_ref = D_ref * Ks_ref.
