1.500000 4.500000 2.000000 Ni
2.500000 4.500000 2.000000 Ni
3.500000 4.500000 2.000000 Ni
4.500000 4.500000 2.000000 Ni
0.500000 0.500000 3.000000 Ni
1.500000 0.500000 3.000000 Ni
2.500000 0.500000 3.000000 Ni
3.500000 0.500000 3.000000 Mo
4.500000 0.500000 3.000000 Mo
0.500000 1.500000 3.000000 Ni
1.500000 1.500000 3.000000 Ni
2.500000 1.500000 3.000000 Cr
3.500000 1.500000 3.000000 Ni
4.500000 1.500000 3.000000 Ni
0.500000 2.500000 3.000000 Cr
1.500000 2.500000 3.000000 Ni
2.500000 2.500000 3.000000 Al
3.500000 2.500000 3.000000 Ni
4.500000 2.500000 3.000000 Ni
0.500000 3.500000 3.000000 Ni
1.500000 3.500000 3.000000 Ni
2.500000 3.500000 3.000000 Ni
3.500000 3.500000 3.000000 Ni
4.500000 3.500000 3.000000 Ni
0.500000 4.500000 3.000000 Ni
1.500000 4.500000 3.000000 C
2.500000 4.500000 3.000000 Ni
3.500000 4.500000 3.000000 Cr
4.500000 4.500000 3.000000 Cr
0.500000 0.500000 4.000000 Ni
1.500000 0.500000 4.000000 Ni
2.500000 0.500000 4.000000 Ni
3.500000 0.500000 4.000000 Ni
4.500000 0.500000 4.000000 Ni
0.500000 1.500000 4.000000 Ni
1.500000 1.500000 4.000000 Ni
2.500000 1.500000 4.000000 Mo
3.500000 1.500000 4.000000 Fe
4.500000 1.500000 4.000000 Ni
0.500000 2.500000 4.000000 Ni
1.500000 2.500000 4.000000 Mo
2.500000 2.500000 4.000000 Cr
3.500000 2.500000 4.000000 Mo
4.500000 2.500000 4.000000 Ni
0.500000 3.500000 4.000000 Ni
1.500000 3.500000 4.000000 Mo
2.500000 3.500000 4.000000 Cr
3.500000 3.500000 4.000000 Ni
4.500000 3.500000 4.000000 Ni
0.500000 4.500000 4.000000 Cr
1.500000 4.500000 4.000000 Ni
2.500000 4.500000 4.000000 Ni
3.500000 4.500000 4.000000 Mo
4.500000 4.500000 4.000000 Ni
