regime,metric,parameter,S1,S1_conf,ST,ST_conf,log,contamination_%
oxide,flux,D_ref,-0.0005012815040995146,0.003839923732967742,0.0005381048475476995,0.00024284997068397382,True,7.9
oxide,flux,trap_dislocation_N_T,-3.8734178248401515e-18,3.461091871739926e-17,2.704524559811408e-32,1.2660043647102823e-32,True,7.9
oxide,flux,D_ox_ref,0.00887419198412529,0.0157182305400771,0.007435768404851805,0.001409744763299516,True,7.9
oxide,flux,oxide_thickness,0.017223508450978583,0.022251198788972956,0.016319173619574013,0.003516223440705415,True,7.9
oxide,flux,trap_carbide_N_T,-0.00012167087993144259,0.0001288937903842694,6.449853854344433e-07,3.5150518094071303e-07,True,7.9
oxide,permeability,temperature,0.828928317505522,0.13997259385185948,0.8697976898697343,0.13275554180913565,True,7.9
oxide,permeability,H_sol_ox,0.10211552593962886,0.06944246181145343,0.15267068775493065,0.03647567929007937,True,7.9
oxide,permeability,f_pinhole,0.0,0.0,0.0,0.0,True,7.9
oxide,permeability,D_ref,-1.7317150929197708e-07,5.335456182117543e-07,7.918580389123533e-11,1.0423299874021066e-10,True,7.9
oxide,permeability,trap_dislocation_N_T,0.0,0.0,0.0,0.0,True,7.9
oxide,permeability,D_ox_ref,0.009213049981889987,0.01873348739561141,0.009450633780737074,0.0017842454427493006,True,7.9
oxide,permeability,oxide_thickness,0.0,0.0,0.0,0.0,True,7.9
oxide,permeability,trap_carbide_N_T,1.9016176584975366e-08,3.6633440392296946e-08,5.139829906214889e-14,4.391885743702745e-14,True,7.9
oxide,theta,temperature,0.9983540423340543,0.15183755384525313,0.9983470424550683,0.12168625190724025,False,7.9
oxide,theta,H_sol_ox,5.581199391726326e-06,9.853446649338809e-06,8.376151955419702e-09,8.659722282307892e-09,False,7.9
oxide,theta,f_pinhole,0.0,0.0,0.0,0.0,False,7.9
oxide,theta,D_ref,3.401756106650888e-07,6.525215697928902e-07,8.155205732757716e-11,1.4730209913573672e-10,False,7.9
oxide,theta,trap_dislocation_N_T,0.0,0.0,0.0,0.0,False,7.9
oxide,theta,D_ox_ref,-3.433218879112036e-06,7.826937389431464e-06,3.4302362207787616e-09,5.358206950465403e-09,False,7.9
oxide,theta,oxide_thickness,6.8648019660245915e-06,6.604855915137569e-06,4.209145791950205e-09,5.01221051222408e-09,False,7.9
oxide,theta,trap_carbide_N_T,7.909001107974528e-09,1.4646315228199468e-08,7.198449104717987e-14,9.630998198492705e-14,False,7.9
