D_ref,E_D,K_s_ref,H_s,D_ox_ref,E_D_ox,K_ox_ref,H_sol_ox,metal_thickness,oxide_thickness,P_upstream,f_pinhole,f_crack,f_gb_defect,crack_thickness_factor,gb_diffusivity_factor,grain_size,gb_thickness,lattice_density,trap_dislocation_E_b,trap_dislocation_N_T,trap_gb_E_b,trap_gb_N_T,trap_vacancy_E_b,trap_vacancy_N_T,trap_carbide_E_b,trap_carbide_N_T,temperature,k_diss_ref,E_diss,K_eq_ref,H_eq,k_diss_metal_ref,E_diss_metal,K_eq_metal_ref,H_eq_metal,Y_flux,Y_permeability,Y_theta
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,0.06667,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,1.2931344273016098e-06,1.7345791764494959e-18,2.795674164881023e-05
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,1e-05,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,3.1629658000000005e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,1.2931027651634104e-06,1.7345791764494959e-18,2.795674164881023e-05
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.1,1e-05,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,1.2931027651637e-06,1.7345791764494959e-18,2.79567416677569e-05
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,69666.66666666667,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,4.314371097213061e-07,1.7345791764494959e-18,2.79567416677569e-05
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.00017333333333333334,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,4.314555637324145e-07,1.8042925658275e-18,2.79567416673793e-05
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0005,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.0005,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,4.313839549893073e-07,1.804292565674681e-18,2.79567416673793e-05
1.4286190000000003e-07,66666.66666666667,0.1,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0035,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.0005,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,6.204405864303403e-08,1.804292565674681e-18,2.795674166738154e-05
1.4286190000000003e-07,66666.66666666667,0.033400000000000006,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0035,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.0005,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,2.1040808546427378e-08,1.8042907319949143e-18,2.795674166738675e-05
4.285e-07,66666.66666666667,0.033400000000000006,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0035,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.0005,3e-10,8e+28,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,6.215485391959135e-08,1.8042925673266466e-18,2.7956741667381537e-05
4.285e-07,66666.66666666667,0.033400000000000006,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0035,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.0005,3e-10,1.0666666666666667e+29,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,8.161534697266743e-08,1.804292787495225e-18,2.795674166738091e-05
4.285e-07,66666.66666666667,0.033400000000000006,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0035,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.0005,7.666666666666667e-10,1.0666666666666667e+29,25000.0,816000000000000.0,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,8.162647777174563e-08,1.804292787590938e-18,2.7956741667380913e-05
4.285e-07,66666.66666666667,0.033400000000000006,33666.666666666664,7.8e-21,71000.0,0.1866666666666667,170000.0,0.0035,6.6667e-06,3333333.3333334,0.03334000000000001,1e-05,0.1,0.5,1.0,0.0005,7.666666666666667e-10,1.0666666666666667e+29,25000.0,272054400000000.03,28333.333333333332,2.0004000000000004e+16,35000.0,1e+28,20000.0,2e+27,806.3333333333334,9.487e-06,50000.0,1e-14,50000.0,8.973782e-05,80000.0,0.00033333340000000003,5000.0,8.162647777174657e-08,1.804292787590938e-18,2.7956741667380913e-05
