temperature,P_upstream,f_pinhole,k_diss_ref,metal_thickness,trap_dislocation_E_b,k_diss_metal_ref,K_s_ref,Y_flux,Y_permeability,Y_theta,regime_hit
1129.1025953198725,2.350993101381664,0.08579122644830214,2.748959181328817e-09,0.0007643588110228887,23188.864262568914,1.6963342518295762e-08,0.06049942864410321,1.6872839602786335e-08,2.74452383064794e-12,1.0521182062027003e-06,surface
1129.1025953198725,2.350993101381664,0.08579122644830214,1.0533215987690131e-09,0.0026417971626275577,23188.864262568914,1.6963342518295762e-08,0.06049942864410321,1.5355938888889238e-08,2.74452383064794e-12,6.588037380678849e-07,surface
1129.1025953198725,2.350993101381664,0.08579122644830214,1.0533215987690131e-09,0.0007643588110228887,16198.014067031607,1.6963342518295762e-08,0.06049942864410321,1.6257630939974415e-08,2.74452383064794e-12,4.0314315880713416e-07,surface
1129.1025953198725,2.350993101381664,0.08579122644830214,1.0533215987690131e-09,0.0007643588110228887,23188.864262568914,3.4287224732066284e-08,0.06049942864410321,3.1857193864312106e-08,2.74452383064794e-12,4.0314315880713427e-07,surface
1129.1025953198725,2.350993101381664,0.08579122644830214,1.0533215987690131e-09,0.0007643588110228887,23188.864262568914,1.6963342518295762e-08,0.039775115919770905,1.6118062989952908e-08,2.741644436120874e-12,4.57376455513416e-07,surface
1129.1025953198725,5.972474148669612,0.06577970742880536,2.748959181328817e-09,0.0026417971626275577,16198.014067031607,3.4287224732066284e-08,0.039775115919770905,3.7189969317606555e-08,2.741644436120874e-12,5.610340394580898e-06,metal
1018.2653020652783,2.350993101381664,0.06577970742880536,2.748959181328817e-09,0.0026417971626275577,16198.014067031607,3.4287224732066284e-08,0.039775115919770905,5.682531521736949e-09,3.663213506581492e-13,5.3919393775470605e-06,metal
1018.2653020652783,5.972474148669612,0.08579122644830214,2.748959181328817e-09,0.0026417971626275577,16198.014067031607,3.4287224732066284e-08,0.039775115919770905,1.372447437207444e-08,3.663213506581492e-13,1.369553730986408e-05,metal
1018.2653020652783,5.972474148669612,0.06577970742880536,1.0533215987690131e-09,0.0026417971626275577,16198.014067031607,3.4287224732066284e-08,0.039775115919770905,1.0020242855848783e-08,3.663213506581492e-13,5.248853439468999e-06,metal
1018.2653020652783,5.972474148669612,0.06577970742880536,2.748959181328817e-09,0.0007643588110228887,16198.014067031607,3.4287224732066284e-08,0.039775115919770905,1.97884179629314e-08,3.663213506581492e-13,8.718593373595486e-06,metal
1018.2653020652783,5.972474148669612,0.06577970742880536,2.748959181328817e-09,0.0026417971626275577,23188.864262568914,3.4287224732066284e-08,0.039775115919770905,1.0865185615614187e-08,3.663213506581492e-13,1.3695537309864114e-05,metal
1018.2653020652783,5.972474148669612,0.06577970742880536,2.748959181328817e-09,0.0026417971626275577,16198.014067031607,1.6963342518295762e-08,0.039775115919770905,8.657168703429635e-09,3.663213506581492e-13,1.369553730986408e-05,metal
1018.2653020652783,5.972474148669612,0.06577970742880536,2.748959181328817e-09,0.0026417971626275577,16198.014067031607,3.4287224732066284e-08,0.06049942864410321,1.393224031570675e-08,3.6654168670147363e-13,1.1296827284311082e-05,metal
1018.2653020652783,5.972474148669612,0.06577970742880536,2.748959181328817e-09,0.0026417971626275577,16198.014067031607,3.4287224732066284e-08,0.039775115919770905,1.0865185615614223e-08,3.663213506581492e-13,1.369553730986408e-05,metal
875.760210737943,6.765750949504114,0.04085307847469535,5.227198725070069e-09,0.0028183084606416718,18736.979560933214,7.531747208047015e-08,0.015538207818433127,1.2264496299193299e-09,1.2996604024641269e-14,0.00021797429753109526,surface
764.9229174833488,6.765750949504114,0.04085307847469535,5.227198725070069e-09,0.0028183084606416718,18736.979560933214,7.531747208047015e-08,0.015538207818433127,1.5278626358752257e-10,4.102302056910422e-16,0.00045952874116545557,oxide
875.760210737943,1.557716300547161,0.04085307847469535,5.227198725070069e-09,0.0028183084606416718,18736.979560933214,7.531747208047015e-08,0.015538207818433127,3.57818313182611e-10,1.2996604024641269e-14,5.361269413952242e-05,surface
875.760210737943,6.765750949504114,0.020841559455198572,5.227198725070069e-09,0.0028183084606416718,18736.979560933214,7.531747208047015e-08,0.015538207818433127,1.1217608959821205e-09,1.2996604024641269e-14,0.00021797429753109526,surface
875.760210737943,6.765750949504114,0.04085307847469535,6.922836307629873e-09,0.0028183084606416718,18736.979560933214,7.531747208047015e-08,0.015538207818433127,1.4776710448945892e-09,1.2996604024641269e-14,0.00027341843555000474,metal
875.760210737943,6.765750949504114,0.04085307847469535,5.227198725070069e-09,0.004695746812246341,18736.979560933214,7.531747208047015e-08,0.015538207818433127,1.0694266071623851e-09,1.2996604024641269e-14,0.000279503948713085,metal
875.760210737943,6.765750949504114,0.04085307847469535,5.227198725070069e-09,0.0028183084606416718,20649.898768667306,7.531747208047015e-08,0.015538207818433127,1.2264496299193299e-09,1.2996604024641269e-14,0.00021797429753109534,surface
875.760210737943,6.765750949504114,0.04085307847469535,5.227198725070069e-09,0.0028183084606416718,18736.979560933214,9.264135429424067e-08,0.015538207818433127,1.2274200812768534e-09,1.2996604024641269e-14,0.00021797429753109526,surface
875.760210737943,6.765750949504114,0.04085307847469535,5.227198725070069e-09,0.0028183084606416718,18736.979560933214,7.531747208047015e-08,0.084736336745441,2.2981733142034744e-09,1.301662965163919e-14,0.00012821055072744324,metal
875.760210737943,1.557716300547161,0.020841559455198572,6.922836307629873e-09,0.004695746812246341,20649.898768667306,9.264135429424067e-08,0.084736336745441,5.11251331807263e-10,1.301662965163919e-14,4.442838394045541e-05,surface
764.9229174833488,6.765750949504114,0.020841559455198572,6.922836307629873e-09,0.004695746812246341,20649.898768667306,9.264135429424067e-08,0.084736336745441,2.1826758783420366e-10,4.1049888130373604e-16,0.0004608595856057423,oxide
764.9229174833488,1.557716300547161,0.04085307847469535,6.922836307629873e-09,0.004695746812246341,20649.898768667306,9.264135429424067e-08,0.084736336745441,9.525195123310216e-11,4.1049888130373604e-16,0.00017768188386156337,metal
764.9229174833488,1.557716300547161,0.020841559455198572,5.227198725070069e-09,0.004695746812246341,20649.898768667306,9.264135429424067e-08,0.084736336745441,7.316621054540457e-11,4.1049888130373604e-16,0.00015634169435832637,surface
