regime,metric,parameter,pawn_median,delta,S1_givendata,n
metal,theta,D_ref,0.07242935063186012,0.052101142829965676,0.009619809415338807,1495
metal,theta,E_D,0.057396990714761356,0.05733711157936613,0.003997381609516307,1495
metal,theta,K_s_ref,0.05588755957591674,0.07218206421974203,0.00807201397445469,1495
metal,theta,H_s,0.04716167987250566,0.05886666978169565,0.008120945508249388,1495
metal,theta,D_ox_ref,0.06717948717948719,0.07464000580918327,0.005657348579524905,1495
metal,theta,E_D_ox,0.04830763245119825,0.032809023008604526,0.008430460281079999,1495
metal,theta,K_ox_ref,0.049666674148728426,0.05906726688566146,0.013718565910442931,1495
metal,theta,H_sol_ox,0.06578752441022648,0.08288882094020245,0.01274165163516558,1495
metal,theta,metal_thickness,0.05498731790532199,0.05421170602385456,0.003574462088714973,1495
metal,theta,oxide_thickness,0.06466454176112771,0.042517778148046324,0.009681610804409147,1495
metal,theta,P_upstream,0.1950002618721615,0.1799386967993772,0.224805311354393,1495
metal,theta,f_pinhole,0.05274419579059206,0.06167052334295896,0.004905386888463248,1495
metal,theta,f_crack,0.05267558528428094,0.060830409183264225,0.0063174447104658235,1495
metal,theta,f_gb_defect,0.05409141583054626,0.06133920738403848,0.011272875413097056,1495
metal,theta,crack_thickness_factor,0.05622320486633296,0.05142864193010621,0.010987375636468255,1495
metal,theta,gb_diffusivity_factor,0.06758082497212932,0.04405818875846301,0.010167697966859878,1495
metal,theta,grain_size,0.04869752268935228,0.08324586413391934,0.0104069862255148,1495
metal,theta,gb_thickness,0.06734274576702357,0.09026017198126045,0.00967891299068159,1495
metal,theta,lattice_density,0.07055284954322014,0.06155427375370912,0.0073398788279991035,1495
metal,theta,trap_dislocation_E_b,0.06164822338443581,0.04509084052037879,0.004606935899872155,1495
metal,theta,trap_dislocation_N_T,0.04892632413787944,0.08030791916852803,0.014756033050918587,1495
metal,theta,trap_gb_E_b,0.05480490523968785,0.04956967942007554,0.006021637488189227,1495
metal,theta,trap_gb_N_T,0.08745445294905463,0.08583078055350807,0.009888139471736161,1495
metal,theta,trap_vacancy_E_b,0.07549325492132612,0.06860496362272067,0.030071442209614784,1495
metal,theta,trap_vacancy_N_T,0.05725752508361204,0.05040549481384067,0.009781267380340321,1495
metal,theta,trap_carbide_E_b,0.05958227649211016,0.03790411962288918,0.0175883915885356,1495
metal,theta,trap_carbide_N_T,0.05318406620128242,0.061586664228402616,0.011224007494972188,1495
metal,theta,temperature,0.21106611897974606,0.17300130969675837,0.19781902041830335,1495
metal,theta,k_diss_ref,0.07873493299813697,0.06778648792466507,0.006492976534274461,1495
metal,theta,E_diss,0.06373369845794707,0.08675813715276716,0.00990774030011464,1495
metal,theta,K_eq_ref,0.18013288141680323,0.19243878700161512,0.226558134656691,1495
metal,theta,H_eq,0.2299075965373018,0.17291037028715334,0.25512245549574497,1495
metal,theta,k_diss_metal_ref,0.06702341137123746,0.05688385075887195,0.006298973633708534,1495
metal,theta,E_diss_metal,0.05199554069119287,0.06461378281453363,0.01590943640284709,1495
metal,theta,K_eq_metal_ref,0.0673409500722019,0.06718120760497871,0.005061686450714933,1495
metal,theta,H_eq_metal,0.06483311261251151,0.05911379260746719,0.005504846576783738,1495
surface,flux,D_ref,0.10298434004474273,0.10409902479977848,0.03773805305437192,1500
surface,flux,E_D,0.05433333333333333,0.07038610123659331,0.010889621628138647,1500
surface,flux,K_s_ref,0.08233333333333334,0.1050786908704829,0.02824564416542677,1500
surface,flux,H_s,0.06833333333333333,0.056121526394234594,0.0048183039618042624,1500
surface,flux,D_ox_ref,0.06766666666666667,0.08268802294218844,0.012644382415390435,1500
surface,flux,E_D_ox,0.06817002237136466,0.07859465854087684,0.012070141948556197,1500
surface,flux,K_ox_ref,0.059,0.07466926160802456,0.008890076611867213,1500
surface,flux,H_sol_ox,0.07466666666666666,0.10317134140381004,0.010020934430050614,1500
surface,flux,metal_thickness,0.09857494407158837,0.07905996393602414,0.03452906046525927,1500
surface,flux,oxide_thickness,0.07233333333333333,0.07377967884560652,0.0040009604861234015,1500
surface,flux,P_upstream,0.18666666666666668,0.15437922421859696,0.25741585276439133,1500
surface,flux,f_pinhole,0.13872035794183446,0.10556135491908124,0.04354327472932591,1500
surface,flux,f_crack,0.058333333333333334,0.08489918240159978,0.011787993658036388,1500
surface,flux,f_gb_defect,0.06433333333333334,0.0643551677946884,0.005746017897024386,1500
surface,flux,crack_thickness_factor,0.060333333333333336,0.06368291840495532,0.011156794881375567,1500
surface,flux,gb_diffusivity_factor,0.052131991051454135,0.06385317392239286,0.0027556844733312887,1500
surface,flux,grain_size,0.05530648769574944,0.06417238085865307,0.009380180872225315,1500
surface,flux,gb_thickness,0.066,0.07202405467322565,0.014140456313560501,1500
surface,flux,lattice_density,0.0657248322147651,0.0668773870408429,0.00877180746790485,1500
surface,flux,trap_dislocation_E_b,0.075,0.07883174043599835,0.012923142598477442,1500
surface,flux,trap_dislocation_N_T,0.06833333333333333,0.06885406826965927,0.006972711613084592,1500
surface,flux,trap_gb_E_b,0.08133333333333334,0.06344993106209516,0.0062854155774647,1500
surface,flux,trap_gb_N_T,0.07366666666666666,0.06475552992582659,0.011069624771705675,1500
surface,flux,trap_vacancy_E_b,0.057999999999999996,0.08095921310198186,0.008344573554437735,1500
surface,flux,trap_vacancy_N_T,0.07,0.09862279020858983,0.021040281280477198,1500
surface,flux,trap_carbide_E_b,0.054006711409395974,0.07032058937853837,0.012558201338741465,1500
surface,flux,trap_carbide_N_T,0.054,0.0678485195148045,0.0036673475736200686,1500
surface,flux,temperature,0.3416666666666667,0.3406302819375838,0.6056728029708468,1500
surface,flux,k_diss_ref,0.07999999999999999,0.1396981810956259,0.061761790025206126,1500
surface,flux,E_diss,0.07500000000000001,0.07817714238303614,0.023512854458858694,1500
surface,flux,K_eq_ref,0.058333333333333334,0.07501948140269611,0.008010494091104268,1500
surface,flux,H_eq,0.05566666666666667,0.056458671607529806,0.012019468503423657,1500
surface,flux,k_diss_metal_ref,0.07400000000000001,0.09251765808161011,0.016643420905253007,1500
surface,flux,E_diss_metal,0.06366666666666668,0.07785994118103505,0.005549794191065436,1500
